day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
4.1일,KIA 타이거즈,9,2,0,2,1,0,패,서울,7,0,28
4.1일,LG 트윈스,10,1,0,3,0,0,승,서울,7,0,28
4.1일,NC 다이노스,7,0,1,6,0,1,패,부산,10.3,0,38
4.1일,롯데 자이언츠,10,0,0,5,1,0,승,부산,10.3,0,38
4.1일,두산 베어스,10,1,1,10,0,1,패,수원,7,0,28
4.1일,kt wiz,13,4,1,7,1,0,승,수원,7,0,28
4.1일,SK 와이번스,15,6,1,5,0,0,승,대전,10.5,0,23
4.1일,한화 이글스,4,1,0,10,0,1,패,대전,10.5,0,23
4.1일,키움 히어로즈,9,2,3,6,0,1,패,대구,12.9,0,13
4.1일,삼성 라이온즈,14,1,2,9,0,2,승,대구,12.9,0,13
4.3화,KIA 타이거즈,5,2,0,7,0,0,패,인천,6.3,0,36
4.3화,SK 와이번스,14,6,0,7,0,1,승,인천,6.3,0,36
4.3화,kt wiz,11,1,0,9,0,0,승,서울,5.5,0,31
4.3화,키움 히어로즈,6,0,0,7,1,1,패,서울,5.5,0,31
4.3화,LG 트윈스,16,2,1,11,1,1,패,서울,5.5,0,31
4.3화,두산 베어스,12,1,2,10,0,0,승,서울,5.5,0,31
4.3화,롯데 자이언츠,15,1,0,11,1,2,패,대전,5.1,0,36
4.3화,한화 이글스,11,2,2,5,0,2,승,대전,5.1,0,36
4.3화,삼성 라이온즈,11,0,0,12,1,0,패,창원,7.5,0,24
4.3화,NC 다이노스,8,1,0,8,1,2,승,창원,7.5,0,24
4.4수,KIA 타이거즈,19,3,0,4,2,0,승,인천,8,0,75
4.4수,SK 와이번스,7,1,0,11,1,1,패,인천,8,0,75
4.4수,kt wiz,5,1,0,6,0,0,패,서울,9.1,0,58
4.4수,키움 히어로즈,12,5,1,8,0,0,승,서울,9.1,0,58
4.4수,LG 트윈스,12,0,1,6,1,0,패,서울,9.1,0,58
4.4수,두산 베어스,10,2,3,4,0,0,승,서울,9.1,0,58
4.4수,롯데 자이언츠,12,2,0,8,0,1,패,대전,11.2,0,51
4.4수,한화 이글스,10,0,0,10,3,1,승,대전,11.2,0,51
4.4수,삼성 라이온즈,4,0,0,9,0,0,패,창원,14.7,0,36
4.4수,NC 다이노스,9,2,1,8,1,1,승,창원,14.7,0,36
4.5목,kt wiz,6,1,0,8,0,0,패,서울,8.4,0,21
4.5목,키움 히어로즈,7,1,0,9,0,0,승,서울,8.4,0,21
4.5목,삼성 라이온즈,13,0,1,5,2,1,승,창원,14,0,13
4.5목,NC 다이노스,7,1,1,11,0,1,패,창원,14,0,13
4.6금,LG 트윈스,14,5,0,4,0,1,승,부산,12.9,0,22
4.6금,롯데 자이언츠,9,1,0,12,2,0,패,부산,12.9,0,22
4.6금,키움 히어로즈,13,1,1,13,0,1,패,광주,10,0,25
4.6금,KIA 타이거즈,16,1,0,9,0,1,승,광주,10,0,25
4.7토,한화 이글스,8,0,1,10,1,1,패,수원,10.6,0,33
4.7토,kt wiz,10,0,1,9,2,1,승,수원,10.6,0,33
4.7토,LG 트윈스,9,1,0,11,3,0,패,부산,10.7,0,41
4.7토,롯데 자이언츠,13,2,0,5,0,0,승,부산,10.7,0,41
4.7토,NC 다이노스,8,1,1,11,0,1,패,서울,10.2,0,23
4.7토,두산 베어스,7,1,2,7,0,1,승,서울,10.2,0,23
4.7토,삼성 라이온즈,9,0,1,12,0,1,패,인천,8.3,0,33
4.7토,SK 와이번스,7,2,1,12,1,3,승,인천,8.3,0,33
4.7토,키움 히어로즈,10,0,0,6,1,1,패,광주,14.9,0,24
4.7토,KIA 타이거즈,9,1,0,6,2,0,승,광주,14.9,0,24
4.8일,한화 이글스,14,1,2,12,1,0,승,수원,14.7,0,54
4.8일,kt wiz,10,2,1,6,0,2,패,수원,14.7,0,54
4.8일,LG 트윈스,7,0,0,6,1,4,승,부산,17.5,0,32
4.8일,롯데 자이언츠,7,1,1,9,1,1,패,부산,17.5,0,32
4.8일,NC 다이노스,13,1,1,11,1,2,패,서울,13.7,0,50
4.8일,두산 베어스,14,0,1,9,0,0,승,서울,13.7,0,50
4.8일,삼성 라이온즈,11,3,1,6,1,0,승,인천,10.6,0,68
4.8일,SK 와이번스,10,0,0,4,1,2,패,인천,10.6,0,68
4.8일,키움 히어로즈,13,1,0,6,0,0,패,광주,18,0,38
4.8일,KIA 타이거즈,9,2,0,7,1,0,승,광주,18,0,38
4.10화,KIA 타이거즈,8,0,0,4,2,0,패,대전,14.4,0,70
4.10화,한화 이글스,7,2,1,8,0,0,승,대전,14.4,0,70
4.10화,kt wiz,8,2,1,7,1,1,승,창원,15.7,0,66
4.10화,NC 다이노스,5,1,2,10,0,1,패,창원,15.7,0,66
4.10화,두산 베어스,12,1,1,7,1,0,승,대구,17.2,0,50
4.10화,삼성 라이온즈,4,1,0,11,0,4,패,대구,17.2,0,50
4.10화,SK 와이번스,12,1,1,9,1,2,승,서울,12.8,0.5,88
4.10화,LG 트윈스,6,0,1,13,1,1,패,서울,12.8,0.5,88
4.10화,키움 히어로즈,6,1,1,11,0,1,패,부산,15.1,0,76
4.10화,롯데 자이언츠,11,2,0,5,0,0,승,부산,15.1,0,76
4.11수,KIA 타이거즈,7,1,1,10,1,1,패,대전,10.5,0,23
